Spell Name,Level,School,Ritual,Casting Time,Range,Target/Area,V,S,M,Component(s),Cost,Concentration,Duration,Attack/Saving Throw (Effect),Damage Type,Damage/Heal,Sourcebook,Page #,Additional Detail,Per Higher Spell Level,Bard,Cleric,Druid,Paladin,Ranger,Sorceror,Warlock,Wizard
Death Ward,4,Abjuration,,1 action,Touch,1 willing creature,V,S,,,,,8 hours,,,,PHB,230,1 use: Target drops to 1 HP instead of 0 HP or negates instant kill effect.,,,Cleric,,Paladin,,,,
Delayed Blast Fireball,7,Evocation,,1 action,150 ft.,20 ft. radius sphere,V,S,M,tiny ball of guano and sulfur,,Concentration,1 minute,DEX (Half DAM),Fire,DAM: 12d6,PHB,230,Creates spot where fireball will erupt.  See Sourcebook.,Extra 1d6 base DAM.,,,,,,Sorceror,,Wizard
Demiplane,8,Conjuration,,1 action,60 ft.,,,S,,,,,1 hour,,,,PHB,231,Create door to 30 ft. cubic room in demiplane. Trapped if there when spell ends.,,,,,,,,Warlock,Wizard
Destructive Wave,5,Evocation,,1 action,Self,30 ft. radius,V,,,,,,Instantaneous,"CON (Half DAM, not prone)",See Details,DAM: 5d6+5d6,PHB,231,"Targets in circle take thunder DAM, then radiant or necrotic DAM; go prone.",,,Cleric(Tempest),,Paladin,,,,
Detect Evil and Good,1,Divination,,1 action,Self,30 ft. radius,V,S,,,,Concentration,10 minutes,,,,PHB,231,"Know location of aberration,celestial,elemental,fey,fiend,undead,(un)holy ground.",,,Cleric,,Paladin,,,,
Detect Magic,1,Divination,Ritual,1 action,Self,30 ft. radius,V,S,,,,Concentration,10 minutes,,,,PHB,231,Sense presence of magic. Use action to see auras around creatures/objects.,,Bard,Cleric,Druid,Paladin,Ranger,Sorceror,,Wizard
Detect Poison and Disease,1,Divination,Ritual,1 action,Self,30 ft. radius,V,S,M,yew leaf,,Concentration,10 minutes,,,,PHB,231,"Sense location and type of disease, poison, or poisonous creature.",,,Cleric,Druid,Paladin,Ranger,,,
Detect Thoughts,2,Divination,,1 action,Self,30 ft. radius,V,S,M,a copper piece,,Concentration,1 minute,See Sourcebook.,,,PHB,231,Read thoughts of those around you.  See Sourcebook.,,Bard,,,,,Sorceror,,Wizard
Dimension Door,4,Conjuration,,1 action,500 ft.,Self (and ally within 5 ft.),V,,,,,,Instantaneous,,,,PHB,233,"Teleport yourself and ally to location. If occupied, 4d6 force DAM and spell fails.",,Bard,Cleric(Trickery),,Paladin(Vengeance),,Sorceror,Warlock,Wizard
Disguise Self,1,Illusion,,1 action,Self,Self,V,S,,,,,1 hour,,,,PHB,233,Create illusion to appear as someone else.  Foiled by Investigation vs. spell DC.,,Bard,Cleric(Trickery),,,,Sorceror,,Wizard
Disintegrate,6,Transmutation,,1 action,60 ft.,1 creature,V,S,M,lodestone and pinch of dust,,,Instantaneous,DEX (Fail),Force,DAM: 10d6+40,PHB,233,"If target drops to 0 HP, is disintegrated. Only revived by True Resurrection.",Extra 3d6 DAM.,,,,,,Sorceror,,Wizard
Dispel Evil and Good,5,Abjuration,,1 action,Self,Self,V,S,M,holy water or silver/iron powder,,Concentration,1 minute,,,,PHB,233,"Fey,undead,extraplanar creatures have disadvantaged attacks. See Sourcebook.",,,Cleric,,Paladin,,,,
Dispel Magic,3,Abjuration,,1 action,120 ft.,1 creature/object/magical effect,V,S,,,,,Instantaneous,,,,PHB,234,"End spell <= 3rd level. For >= 4th level, casting ability check DC=10+spell level.",End spell <= new level.,Bard,Cleric,Druid,Paladin,,Sorceror,Warlock,Wizard
Dissonant Whispers,1,Enchantment,,1 action,60 ft.,1 creature,V,,,,,,Instantaneous,WIS (Fail),Psychic,DAM: 3d6,PHB,234,Target immediately uses reaction to move as far away as possible.,Extra 1d6 DAM.,Bard,,,,,,,
Divination,4,Divination,Ritual,1 action,Self,,V,S,M,"INCENSE, SAC. OFFERING",25 gp,,Instantaneous,,,,PHB,234,Question about one event in next 7 days answered by phrase or omen.,,,Cleric,"Druid(Forest,Grassland)",,,,,
Divine Favor,1,Evocation,,1 bonus action,Self,Self,V,S,,,,Concentration,1 minute,,,,PHB,234,Your weapon attacks deal extra 1d4 radiant DAM on a hit.,,,Cleric(War),,Paladin,,,,
Divine Word,7,Evocation,,1 bonus action,30 ft.,Any targets in range,V,,,,,,Instantaneous,CHA (Fail),,,PHB,234,Targets suffer effects based on their current HP.  See Sourcebook.,,,Cleric,,,,,,
Dominate Beast,4,Enchantment,,1 action,60 ft.,1 beast,V,S,,,,Concentration,1 minute,WIS (Fail),,,PHB,234,Charm beast to give it commands. Has advantage to save if attacking it.,See Sourcebook.,,Cleric(Nature),Druid,,,Sorceror,,
Dominate Monster,8,Enchantment,,1 action,60 ft.,1 creature,V,S,,,,Concentration,1 hour,WIS (Fail),,,PHB,235,Charm monster to give it commands. Has advantage to save if attacking it.,9th: Duration is 8 hours.,Bard,,,,,Sorceror,Warlock,Wizard
Dominate Person,5,Enchantment,,1 action,60 ft.,1 person,V,S,,,,Concentration,1 minute,WIS (Fail),,,PHB,235,Charm humanoid to give it commands. Has advantage to save if attacking it.,See Sourcebook.,Bard,Cleric(Trickery),,Paladin(Oathbreaker),,Sorceror,,Wizard
Drawmij's Instant Summons,6,Conjuration,Ritual,1 minute,Touch,1 object <= 10 lb.,V,S,M,sapphire,1000 gp,,Until Dispelled,,,,PHB,235,Speak item name and crush gem to summon object unless it's held by other.,,,,,,,,,Wizard
Dream,5,Illusion,,1 minute,See Sourcebook.,1 creature,V,S,M,"sand,ink,quill from asleep bird",,,8 hours,See Sourcebook.,See Sourcebook.,See Sourcebook.,PHB,236,Shape creature's dreams.  See Sourcebook.,,Bard,,Druid(Grassland),,,,Warlock,Wizard
Druidcraft,0,Transmutation,,1 action,30 ft.,See Sourcebook.,V,S,,,,,Instantaneous,,,,PHB,236,Create minor druidic effect.  See Sourcebook.,,,Cleric(Nature),Druid,,,,,
Earthquake,8,Evocation,,1 action,500 ft.,100 ft. radius,V,S,M,"piece of dirt, rock, and clay",,Concentration,1 minute,See Sourcebook.,,,PHB,236,Create a seismic disturbance with various effects.  See Sourcebook.,,,Cleric,Druid,,,Sorceror,,
Eldritch Blast,0,Evocation,,1 action,120 ft.,1 target,V,S,,,,,Instantaneous,Ranged Spell Attack,Force,DAM: 1d10,PHB,237,"Beam. 2 beams at 5th level, 3 at 11th, 4 at 17th. Can choose different targets.",,,,,,,,Warlock,
Elemental Weapon,3,Transmutation,,1 action,Touch,1 nonmagical weapon,V,S,,,,Concentration,1 hour,,,,PHB,237,"Weapon is +1 to hit and +1d4 acid, cold, fire, lightning, or thunder DAM.","5th:+2,2d4 DAM;7th +3,3D4",,,,Paladin,,,,
Enhance Ability,2,Transmutation,,1 action,Touch,1 creature,V,S,M,fur or feather from a beast,,Concentration,1 hour,,,,PHB,237,Target creature gains a beneficial effect.  See Sourcebook.,One additional creature.,Bard,Cleric,Druid,,,Sorceror,,
